Company Code,Company Name,Sector
4006,أسواق المزرعة,تجارة التجزئة
4007,الحمادي,الخدمات الصحية
4008,ساكو,تجارة التجزئة
4009,السعودي الألماني الصحية,الخدمات الصحية
4011,لازوردي,السلع الاستهلاكية المُعمرة
4012,الأصيل,خدمات التوزيع
4013,سليمان الحبيب,الخدمات الصحية
4014,دار المعدات,خدمات المستهلك
4015,جمجوم فارما,تكنولوجيا الصحة
4016,أفالون فارما,تكنولوجيا الصحة
4017,فقيه الطبية,الخدمات الصحية
4018,الموسى,الخدمات الصحية
4019,اس ام سي للرعاية الصحية,الخدمات الصحية
4020,العقارية,السلع الاستهلاكية المُعمرة
4021,المركز الكندي الطبي,الخدمات الصحية
4030,البحري,وسائل النقل
4031,الخدمات الأرضية,وسائل النقل
4040,سابتكو,وسائل النقل
4050,ساسكو,تجارة التجزئة
4051,باعظيم,خدمات التوزيع
4061,أنعام القابضة,خدمات التوزيع
4070,تهامة,الخدمات التجارية
4071,العربية,الخدمات التجارية
4072,مجموعة إم بي سي,خدمات المستهلك
4080,سناد القابضة,القطاع المالي
4081,النايفات,القطاع المالي
4082,مرنة,القطاع المالي
4083,تسهيل,القطاع المالي
4084,دراية,القطاع المالي
4090,طيبة,السلع الاستهلاكية المُعمرة
4100,مكة,القطاع المالي
4110,باتك,وسائل النقل
4130,درب السعودية,القطاع المالي
4140,صادرات,خدمات التوزيع
4141,العمران,الصناعات الموجهة للمنتجين
4142,كابلات الرياض,الصناعات الموجهة للمنتجين
4143,تالكو,المعادن الأخرى - غير مصادر الطاقة
4144,رؤوم,الصناعات التحويلية
4145,أو جي سي,الصناعات التحويلية
4146,جاز,الخدمات الصناعية
4147,سي جي إس,الصناعات الموجهة للمنتجين
4148,الوسائل الصناعية,الصناعات الموجهة للمنتجين
4150,التعمير,القطاع المالي
4160,ثمار,خدمات التوزيع
4161,بن داود,تجارة التجزئة
4162,المنجم,خدمات التوزيع
4163,الدواء,خدمات التوزيع
4164,النهدي,خدمات التوزيع
4165,الماجد للعود,تجارة التجزئة
4170,شمس,خدمات المستهلك
4180,مجموعة فتيحي,خدمات التوزيع
4190,جرير,تجارة التجزئة
4191,أبو معطي,تجارة التجزئة
4192,السيف غاليري,تجارة التجزئة
4193,نايس ون,تجارة التجزئة
4194,محطة البناء,تجارة التجزئة
4200,الدريس,خدمات التوزيع
4210,الأبحاث والإعلام,الخدمات التجارية
4220,إعمار,القطاع المالي
4230,البحر الأحمر,الصناعات الموجهة للمنتجين
4240,سينومي ريتيل,تجارة التجزئة
4250,جبل عمر,خدمات المستهلك
4260,بدجت السعودية,القطاع المالي
4261,ذيب,القطاع المالي
4262,لومي,القطاع المالي
4263,سال,وسائل النقل
4264,طيران ناس,وسائل النقل
4265,شري,القطاع المالي
4270,طباعة وتغليف,الخدمات التجارية
4280,المملكة,القطاع المالي
4290,الخليج للتدريب,خدمات المستهلك
4291,الوطنية للتعليم,خدمات المستهلك
4292,عطاء,خدمات المستهلك
4300,دار الأركان,القطاع المالي
4310,مدينة المعرفة,القطاع المالي
4320,الأندلس,القطاع المالي
4321,سينومي سنترز,القطاع المالي
4322,رتال,القطاع المالي
4323,سمو,القطاع المالي
4324,بنان,القطاع المالي
4325,مسار,القطاع المالي
4326,الماجدية,السلع الاستهلاكية المُعمرة
4327,الرمز,القطاع المالي
4330,الرياض ريت,القطاع المالي
4331,الجزيرة ريت,القطاع المالي
4332,جدوى ريت الحرمين,القطاع المالي
4333,تعليم ريت,القطاع المالي
4334,المعذر ريت,متفرقات
4335,مشاركة ريت,متفرقات
4336,ملكية ريت,القطاع المالي
4337,العزيزية ريت,القطاع المالي
4338,الأهلي ريت 1,القطاع المالي
4339,دراية ريت,القطاع المالي
4340,الراجحي ريت,القطاع المالي
4342,جدوى ريت السعودية,القطاع المالي
4344,سدكو كابيتال ريت,القطاع المالي
4345,الإنماء ريت للتجزئة,القطاع المالي
4346,ميفك ريت,القطاع المالي
4347,بنيان ريت,القطاع المالي
4348,الخبير ريت,القطاع المالي
4349,الإنماء ريت الفندقي,القطاع المالي
4350,الإستثمار ريت,القطاع المالي
5110,السعودية للطاقة,خدمات
6001,حلواني إخوان,مستهلك - غير معمرة
6002,هرفي للأغذية,خدمات المستهلك
6004,كاتريون,وسائل النقل
6010,نادك,مستهلك - غير معمرة
6012,ريدان,خدمات المستهلك
6013,التطويرية الغذائية,خدمات المستهلك
6014,الآمار,خدمات المستهلك
6016,برغرايززر,خدمات المستهلك
6017,جاهز,خدمات التكنولوجيا
6018,الأندية للرياضة,خدمات المستهلك
6019,المسار الشامل,القطاع المالي
6020,جاكو,الصناعات التحويلية
6040,تبوك الزراعية,مستهلك - غير معمرة
6050,الأسماك,مستهلك - غير معمرة
6060,الشرقية للتنمية,الصناعات التحويلية
6070,الجوف,الصناعات التحويلية
6090,جازادكو,الصناعات التحويلية
7010,اس تي سي,الاتصالات
7020,إتحاد إتصالات,الاتصالات
7030,زين السعودية,الاتصالات
7040,قو للإتصالات,الاتصالات
7200,ام آي اس,خدمات التكنولوجيا
7201,بحر العرب,خدمات التوزيع
7202,سلوشنز,خدمات التكنولوجيا
7203,علم,خدمات التكنولوجيا
7204,توبي,خدمات التكنولوجيا
7205,دي بي اس,خدمات التكنولوجيا
7211,عزم,خدمات التكنولوجيا
8010,التعاونية,القطاع المالي
8012,جزيرة تكافل,القطاع المالي
8020,ملاذ للتأمين,القطاع المالي
8030,ميدغلف للتأمين,القطاع المالي
8040,متكاملة,القطاع المالي
8050,سلامة,القطاع المالي
8060,ولاء,القطاع المالي
8070,الدرع العربي,القطاع المالي
8100,سايكو,القطاع المالي
8120,إتحاد الخليج الأهلية,القطاع المالي
8150,أسيج,القطاع المالي
8160,التأمين العربية,القطاع المالي
8170,الاتحاد,القطاع المالي
8180,الصقر للتأمين,القطاع المالي
8190,المتحدة للتأمين,القطاع المالي
8200,الإعادة السعودية,القطاع المالي
8210,بوبا العربية,القطاع المالي
8230,تكافل الراجحي,القطاع المالي
8240,تْشب,القطاع المالي
8250,جي آي جي,القطاع المالي
8260,الخليجية العامة,القطاع المالي
8280,ليفا,القطاع المالي
8300,الوطنية,القطاع المالي
8310,أمانة للتأمين,القطاع المالي
8311,عناية,الخدمات الصحية
8313,رسن,خدمات التكنولوجيا
9510,الوطنية للبناء والتسويق,خدمات التوزيع
9513,حديد وطني,المعادن الأخرى - غير مصادر الطاقة
9514,الناقول,المعادن الأخرى - غير مصادر الطاقة
9515,فش فاش,مستهلك - غير معمرة
9516,غاز,خدمات
9517,موبي للصناعة,مستهلك - غير معمرة
9521,إنمار,القطاع المالي
9522,الحاسوب,خدمات التوزيع
9523,جروب فايف,المعادن الأخرى - غير مصادر الطاقة
9524,آيكتك,خدمات التكنولوجيا
9527,ألف ميم ياء,خدمات التوزيع
9530,طبية,تكنولوجيا الصحة
9532,حلوة,مستهلك - غير معمرة
9533,المركز الآلي,خدمات التوزيع
9535,لدن,القطاع المالي
9536,فاديكو,مستهلك - غير معمرة
9537,أمواج الدولية,تجارة التجزئة
9538,نسيج للتقنية,خدمات التكنولوجيا
9539,أقاسيم,الصناعات التحويلية
9540,تدوير,خدمات التوزيع
9541,أكاديمية التعلم,خدمات التكنولوجيا
9542,كير,الاتصالات
9543,نت وركرس,خدمات التكنولوجيا
9544,الرعاية المستقبلية,الخدمات الصحية
9545,الدولية,الخدمات التجارية
9546,نبع الصحة,الخدمات الصحية
9547,رواسي,الاتصالات
9548,ابيكو,الصناعات الموجهة للمنتجين
9549,البابطين الغذائية,مستهلك - غير معمرة
9550,شور,خدمات التكنولوجيا
9551,برج المعرفة,خدمات التوزيع
9552,قمة السعودية,الصناعات التحويلية
9553,ملان,خدمات التوزيع
9555,لين الخير,خدمات التوزيع
9557,إدارات,خدمات التكنولوجيا
9558,القمم,خدمات التكنولوجيا
9559,بلدي,الصناعات التحويلية
9560,وجا,الخدمات الصناعية
9561,نولجنت,خدمات التكنولوجيا
9562,بوابة الأطعمة,خدمات المستهلك
9563,بناء,الصناعات الموجهة للمنتجين
9564,آفاق الغذاء,مستهلك - غير معمرة
9565,معيار,الخدمات التجارية
9566,الصناعات الجيرية,المعادن الأخرى - غير مصادر الطاقة
9567,غذاء السلطان,خدمات المستهلك
9568,ميار,الصناعات الموجهة للمنتجين
9569,آل منيف,خدمات التوزيع
9570,تام التنموية,خدمات التكنولوجيا
9571,مناوله,وسائل النقل
9572,الرازي,تجارة التجزئة
9574,بروميديكس,خدمات التوزيع
9575,ماربل ديزاين,المعادن الأخرى - غير مصادر الطاقة
9576,منزل الورق,الصناعات التحويلية
9577,دار المركبة,وسائل النقل
9578,مصاعد أطلس,خدمات التوزيع
9579,رماث,تجارة التجزئة
9580,الراشد للصناعة,الصناعات الموجهة للمنتجين
9581,كلين لايف,الخدمات التجارية
9583,المتحدة للتعدين,المعادن الأخرى - غير مصادر الطاقة
9584,ريال,القطاع المالي
9585,ملكية,القطاع المالي
9586,أصول وبخيت,القطاع المالي
9587,لانا,الخدمات الصحية
9588,حديد الرياض,الصناعات الموجهة للمنتجين
9589,فاد,مستهلك - غير معمرة
9590,أرماح,خدمات المستهلك
9591,فيو,القطاع المالي
9592,المجتمع الطبية,الخدمات الصحية
9593,عبر الخليج,خدمات التوزيع
9594,المداواة,الخدمات الصحية
9595,وسم,خدمات التكنولوجيا
9596,كوارا,خدمات التكنولوجيا
9597,الليف,الخدمات التجارية
9598,المحافظة للتعليم,خدمات المستهلك
9599,طاقات,المعادن الأخرى - غير مصادر الطاقة
9600,كومل,تكنولوجيا الصحة
9601,الرشيد,المعادن الأخرى - غير مصادر الطاقة
9602,يقين,القطاع المالي
9603,الأفق التعليمية,خدمات المستهلك
9604,ميرال,الخدمات الصحية
9605,نفط الشرق,الصناعات التحويلية
9606,ثروة,الخدمات التجارية
9607,عسق,الصناعات الموجهة للمنتجين
9608,الأشغال الميسرة,الخدمات التجارية
9609,بترول ناس,الصناعات التحويلية
9610,الجادة الأولى,القطاع المالي
9611,المتحدة للزجاج المسطح,الصناعات التحويلية
9612,مياه سما,مستهلك - غير معمرة
9613,شلفا,الخدمات التجارية
9614,نقاوة,خدمات التكنولوجيا
9615,مفيد,خدمات المستهلك
9617,ارابيكا ستار,خدمات المستهلك
9618,الفاخرة,خدمات التوزيع
9619,الأعمال المتعددة,الخدمات الصناعية
9620,بلسم الطبية,الخدمات الصحية
9621,دي آر سي,خدمات التكنولوجيا
9622,شموع الماضي,تجارة التجزئة
9623,مصنع البتال,الصناعات التحويلية
9624,الشهيلي المعدنية,الصناعات الموجهة للمنتجين
9625,إتمام,الخدمات التجارية
9626,سمايل كير,الخدمات الصحية
9627,طوارئيات,الخدمات الصحية
9628,لمسات,خدمات المستهلك
9630,ريشيو,خدمات المستهلك
9631,هضاب الخليج,خدمات التوزيع
9632,رؤية المستقبل,الخدمات التجارية
9633,آلات الصيانة,خدمات التوزيع
9634,أدير,خدمات التكنولوجيا
9635,دخون,تجارة التجزئة
